,127.078436,37.390753,,,
20160302211802700 ,127.096876,37.390258, U+NetEE95       , 00271ce2ee93 ,W         
20160301104454300 ,127.095974,37.390525, U+NetEE95       , 00271ce2ee93 ,W         
20160227060312000 ,127.09733,37.39053, U+NetEE95       , 00271ce2ee93 ,W         
20160224130321800 ,127.096032,37.390441, default         , 00271ce2ee93 ,W         
20160219065640400 ,127.094398,37.39054, U+NetEE95       , 00271ce2ee93 ,W         
20160215232184000 ,127.095467,37.39064, U+NetEE95       , 00271ce2ee93 ,W         
20160205204674700 ,127.097872,37.388758, U+NetEE95       , 00271ce2ee93 ,W         
20151203234685500 ,127.097755,37.390274, U+NetEE95       , 00271ce2ee93 ,W         
20151202071626100 ,127.096654,37.390125, U+NetEE95       , 00271ce2ee93 ,W         
20161017232619000 ,127.117287,37.390933,                 , 085ddd82d1a3 ,I         
20161022081649000 ,127.095662,37.390865,                 , 085ddd2a2724 ,I         
20160521234224100 ,127.09594,37.392135, olleh_WiFi_2720 , 085ddd2a2724 ,W         
20160312014027600 ,127.098835,37.398023, olleh_WiFi_2720 , 085ddd2a2724 ,W         
20160229210621200 ,127.273016,37.399711, default         , 085ddd2a2724 ,W         
20160215052119200 ,127.098727,37.398077, olleh_WiFi_2720 , 085ddd2a2724 ,W         
20151110102237300 ,127.098745,37.398093, olleh_WiFi_2720 , 085ddd2a2724 ,W         
20160521233441200 ,127.096007,37.39098, ollehWiFi       , 1a5ddd2a2724 ,W         
20160312013527600 ,127.09883,37.398094, ollehWiFi       , 1a5ddd2a2724 ,W         
20160229210252900 ,127.273016,37.399711, default         , 1a5ddd2a2724 ,W         
20160215051719000 ,127.098703,37.398063, ollehWiFi       , 1a5ddd2a2724 ,W         
20160211182266100 ,127.09883,37.399006, ollehWiFi       , 1a5ddd2a2724 ,W         
20151103102537500 ,127.098885,37.397903, default         , 1a5ddd2a2724 ,W         
20151110102137200 ,127.098875,37.398271, ollehWiFi       , 1a5ddd2a2724 ,W         
20160219010426800 ,127.095946,37.390577, haneoul2.4G     , c412f56bb768 ,W         
20160211222780800 ,127.097113,37.390103, haneoul2.4G     , c412f56bb768 ,W         
20151126193370400 ,127.095602,37.390452, haneoul2.4G     , c412f56bb768 ,W         
20151124195771800 ,127.09555,37.390984, haneoul2.4G     , c412f56bb768 ,W         
20151118202973700 ,127.09638,37.390537, haneoul2.4G     , c412f56bb768 ,W         
