,127.114244,37.378478,,,
 20160303052016798,127.107948,37.346960,T wifi zone_secure,12e3c70735e3,W
 20160301205307109,127.109095,37.370412,T wifi zone_secure,12e3c70735e3,W
 20160227152143625,127.102620,37.359898,T wifi zone_secure,12e3c70735e3,W
 20160224224013981,127.092605,37.358637,T wifi zone_secure,12e3c70735e3,W
 20160220163003286,127.107648,37.362234,T wifi zone_secure,12e3c70735e3,W
 20160219164149032,127.107608,37.338829,T wifi zone_secure,12e3c70735e3,W
 20160216124846108,127.108319,37.364534,T wifi zone_secure,12e3c70735e3,W
 20160212090332635,127.107840,37.366150,T wifi zone_secure,12e3c70735e3,W
 20160206065024628,127.107185,37.342678,T wifi zone_secure,12e3c70735e3,W
 20160302170121838,127.107785,37.356672,ollehEgg_2345     ,001d9338a569,W
 20160301054402009,127.107810,37.366238,ollehEgg_2345     ,001d9338a569,W
 20160227012731274,127.108449,37.368465,ollehEgg_2345     ,001d9338a569,W
 20160224081047067,127.107781,37.366091,ollehEgg_2345     ,001d9338a569,W 
 20160220091948867,127.107750,37.366070,ollehEgg_2345     ,001d9338a569,W 
 20160219013410288,127.100759,37.375612,ollehEgg_2345     ,001d9338a569,W 
 20160215163359582,127.098163,37.381135,ollehEgg_2345     ,001d9338a569,W 
 20160211223481290,127.108345,37.368051,ollehEgg_2345     ,001d9338a569,W 
 20160205143252322,127.108057,37.366292,ollehEgg_2345     ,001d9338a569,W 
 20160302150747496,127.107810,37.351965,U+ Zone           ,00405ac7ba59,W 
 20160301031934039,127.093364,37.388304,U+ Zone           ,00405ac7ba59,W 
 20160226231108304,127.107738,37.366137,U+ Zone           ,00405ac7ba59,W 
 20160224055448373,127.108193,37.366060,U+ Zone           ,00405ac7ba59,W 
 20160220081858947,127.107750,37.366070,U+ Zone           ,00405ac7ba59,W 
 20160218230821708,127.108495,37.367616,U+ Zone           ,00405ac7ba59,W 
 20160215132848502,127.105389,37.369835,U+ Zone           ,00405ac7ba59,W 
 20160211210175683,127.107769,37.366038,U+ Zone           ,00405ac7ba59,W 
 20160205115342793,127.107765,37.366110,U+ Zone           ,00405ac7ba59,W 
 20160302153713907,127.107835,37.347259,U+zone            ,00405ac7ba5a,W 
 20160301035810665,127.100149,37.377879,U+zone            ,00405ac7ba5a,W 
 20160226233312363,127.107731,37.366129,U+zone            ,00405ac7ba5a,W 
 20160224061847646,127.108123,37.366045,U+zone            ,00405ac7ba5a,W 
 20160220082852444,127.107750,37.366070,U+zone            ,00405ac7ba5a,W 
