,127.086217,37.352117,,,
 20160522030649156,127.090143,37.352437,M2_C1_5G     ,909f33123440,W 
 20160315111701037,127.089516,37.352245,M2_C1_5G     ,909f33123440,W 
 20160301003111787,127.089594,37.352347,ewoo_c_5g    ,909f33123440,W 
 20160226203545098,127.090468,37.352421,ewoo_c_5g    ,909f33123440,W 
 20160218195826741,127.089949,37.352413,ewoo_c_5g    ,909f33123440,W 
 20160212122044425,127.090385,37.352013,ewoo_c_5g    ,909f33123440,W 
 20151201153155917,127.088770,37.350660,ewoo_c_5g    ,909f33123440,W 
 20151203130547126,127.090294,37.352383,ewoo_c_5g    ,909f33123440,W 
 20151121162559150,127.090240,37.351720,ewoo_c_5g    ,909f33123440,W 
 20160301143420508,127.089594,37.352347,ewoo_c_5g    ,909f331234b0,W 
 20160227094451052,127.090516,37.352447,ewoo_c_5g    ,909f331234b0,W 
 20160224163655330,127.090420,37.352394,ewoo_c_5g    ,909f331234b0,W 
 20160219095934050,127.089554,37.352253,ewoo_c_5g    ,909f331234b0,W 
 20160212053219927,127.090385,37.352013,ewoo_c_5g    ,909f331234b0,W 
 20151202035113867,127.088770,37.350660,ewoo_c_5g    ,909f331234b0,W 
 20151204031711846,127.090294,37.352383,ewoo_c_5g    ,909f331234b0,W 
 20151118151554940,127.089670,37.351810,ewoo_c_5g    ,909f331234b0,W 
 20151122115442856,127.089550,37.352320,ewoo_c_5g    ,909f331234b0,W 
 20160302142909088,127.091611,37.341786,ewoo_c       ,909f3311ee52,W 
 20160301024340701,127.081920,37.366159,ewoo_c       ,909f3311ee52,W 
 20160226223137156,127.090436,37.352313,ewoo_c       ,909f3311ee52,W 
 20160224051444283,127.094640,37.299922,ewoo_c       ,909f3311ee52,W 
 20160218221413630,127.089759,37.351772,default      ,909f3311ee52,W 
 20160215122444650,127.091177,37.347074,ewoo_c       ,909f3311ee52,W 
 20160211195771877,127.090378,37.351872,ewoo_c       ,909f3311ee52,W 
 20160205103938368,127.091557,37.346856,ewoo_c       ,909f3311ee52,W 
 20151203145853917,127.090402,37.352061,ewoo_c       ,909f3311ee52,W 
 20160315113521316,127.086055,37.352293,M2_C1        ,909f33123442,W 
 20160301003058852,127.086293,37.358492,ewoo_c       ,909f33123442,W 
 20160226204029604,127.090412,37.352293,ewoo_c       ,909f33123442,W 
 20160224031931425,127.090426,37.349394,ewoo_c       ,909f33123442,W 
 20160220065745507,127.087540,37.351063,ewoo_c       ,909f33123442,W 
 20160218201426888,127.089829,37.352242,default      ,909f33123442,W 
 20160215094034826,127.089310,37.350160,ewoo_c       ,909f33123442,W 
 20160212121243944,127.090385,37.352013,ewoo_c       ,909f33123442,W 
 20160205081329635,127.096953,37.349518,ewoo_c       ,909f33123442,W 
 20160303003304976,127.091302,37.337063,ewoo_c       ,909f331234b2,W 
 20160301143920336,127.051960,37.420569,ewoo_c       ,909f331234b2,W 
 20160227094240162,127.090504,37.352370,ewoo_c       ,909f331234b2,W 
 20160224164035967,127.090420,37.352394,ewoo_c       ,909f331234b2,W 
 20160219101555645,127.089935,37.351748,ewoo_c       ,909f331234b2,W 
 20160216044216976,127.089450,37.349492,ewoo_c       ,909f331234b2,W 
 20160212052619584,127.090385,37.352003,ewoo_c       ,909f331234b2,W 
 20151202084831721,127.088841,37.350699,ewoo_c       ,909f331234b2,W 
 20151204025010229,127.090294,37.352383,ewoo_c       ,909f331234b2,W 
 20161017232619000,127.090413,37.352912,             ,64e599ae6d94,I 
 20160301105819516,127.089594,37.352347,ewoo_t       ,64e599ae6d94,W 
 20160227062108413,127.090516,37.352447,ewoo_t       ,64e599ae6d94,W 
 20160224131457532,127.090135,37.351113,ewoo_t       ,64e599ae6d94,W 
 20160212025810723,127.090385,37.352013,ewoo_t       ,64e599ae6d94,W 
 20151202004002421,127.088770,37.350660,ewoo_t       ,64e599ae6d94,W 
 20151203235586109,127.090294,37.352383,ewoo_t       ,64e599ae6d94,W 
 20151118121143867,127.090385,37.352580,ewoo_t       ,64e599ae6d94,W 
 20151110203574124,127.090020,37.352394,ewoo_t       ,64e599ae6d94,W 
 20151107225882718,127.090155,37.352123,ewoo_t       ,64e599ae6d94,W 
 20161017232619000,127.090413,37.352912,             ,64e59919c736,I 
 20160522020454564,127.090196,37.351306,default      ,64e59919c736,W 
 20160315085054396,127.089182,37.352909,Career_Office,64e59919c736,W 
 20160312040223938,127.090108,37.351527,ewoo_t       ,64e59919c736,W 
 20160226192016967,127.090105,37.350942,ewoo_t       ,64e59919c736,W 
 20140610144528700,127.090558,37.352663,ipTIME_jinro ,64e59919c736,N 
 20150723162258927,127.090200,37.352448,ewoo_t       ,64e59919c736,W 
 20150711105339205,127.090256,37.352562,ewoo_t       ,64e59919c736,W 
 20150716183767020,127.090288,37.352216,ewoo_t       ,64e59919c736,W 
 20151203113141495,127.090294,37.352383,ewoo_t       ,64e59919c736,W 
 20151117133849099,127.090385,37.352580,ewoo_t       ,64e59919c736,W 
 20160521231420639,127.091895,37.346134,H2_C4        ,909f33122e26,W 
 20160315061953609,127.088789,37.353674,H2_C4        ,909f33122e26,W 
 20160312013133486,127.090200,37.350940,default      ,909f33122e26,W 
 20160229205741246,127.087663,37.346740,ewoo_c       ,909f33122e26,W 
 20160226171636320,127.088632,37.346160,ewoo_c       ,909f33122e26,W 
 20160223235128734,127.092522,37.343120,ewoo_c       ,909f33122e26,W 
 20160218161154195,127.089956,37.346562,ewoo_c       ,909f33122e26,W 
 20160215051919184,127.091729,37.347373,ewoo_c       ,909f33122e26,W 
 20160211181165512,127.090351,37.350732,ewoo_c       ,909f33122e26,W 
 20160522052153178,127.090825,37.350191,H3_C3        ,909f3311ee4a,W 
 20160302133623136,127.087358,37.368646,ewoo_c       ,909f3311ee4a,W 
 20160301014344992,127.081033,37.365181,ewoo_c       ,909f3311ee4a,W 
 20160226212825033,127.091294,37.348332,ewoo_c       ,909f3311ee4a,W 
 20160224042000506,127.091261,37.328388,ewoo_c       ,909f3311ee4a,W 
 20160220072735693,127.092911,37.343880,ewoo_c       ,909f3311ee4a,W 
 20160218211343979,127.091061,37.346272,ewoo_c       ,909f3311ee4a,W 
 20160215110039621,127.090524,37.346375,ewoo_c       ,909f3311ee4a,W 
 20160212130947359,127.090716,37.348137,ewoo_c       ,909f3311ee4a,W 
 20161017232619000,127.090413,37.352912,             ,909f33122e4c,I 
 20160212132948583,127.090385,37.352013,ewoo_in_5g   ,909f33122e4c,W 
 20150406110139699,127.090980,37.352740,ewoo_in_5g   ,909f33122e4c,W 
 20150630142051631,127.090280,37.352660,default      ,909f33122e4c,W 
 20150716213877927,127.090355,37.351859,ewoo_in_5g   ,909f33122e4c,W 
 20150711132548311,127.090256,37.352562,ewoo_in_5g   ,909f33122e4c,W 
 20150630142051631,127.090280,37.352660,default      ,909f33122e4c,W 
 20151118040414699,127.090385,37.352580,ewoo_in_5g   ,909f33122e4c,W 
 20161017232619000,127.090413,37.352912,             ,64e59919c6be,I 
 20160227111107907,127.090516,37.352447,ewoo_t       ,64e59919c6be,W 
 20160224182232648,127.090110,37.350965,ewoo_t       ,64e59919c6be,W 
 20160212062623202,127.090385,37.352013,ewoo_t       ,64e59919c6be,W 
 20140610144528694,127.090558,37.352663,ipTIME_head  ,64e59919c6be,N 
 20150331144152873,127.090416,37.352528,ewoo_t       ,64e59919c6be,W 
 20150406152555543,127.090977,37.352801,ewoo_t       ,64e59919c6be,W 
 20150407022608806,127.090620,37.352510,default      ,64e59919c6be,W 
 20150701015506948,127.090280,37.352660,default      ,64e59919c6be,W 
 20150716082530317,127.090530,37.350883,ewoo_t       ,64e59919c6be,W 
 20160227111107630,127.090361,37.352064,ewoo_t       ,64e59919d7be,W 
 20160224182232436,127.090420,37.352394,ewoo_t       ,64e59919d7be,W 
 20160219115730881,127.090169,37.352497,ewoo_t       ,64e59919d7be,W 
 20160212062623202,127.090385,37.352013,ewoo_t       ,64e59919d7be,W 
 20140610144528702,127.090558,37.352663,ipTIME_m2    ,64e59919d7be,N 
 20151204044417088,127.090294,37.352383,ewoo_t       ,64e59919d7be,W 
 20151202094034836,127.088770,37.350660,ewoo_t       ,64e59919d7be,W 
 20151122043316401,127.089740,37.351910,ewoo_t       ,64e59919d7be,W 
