,127.067956,37.358561,,,
20161017232619000,127.090413,37.352912,             ,64e599ae6d94,I 
 20160301105819516,127.089594,37.352347,ewoo_t       ,64e599ae6d94,W 
 20160227062108413,127.090516,37.352447,ewoo_t       ,64e599ae6d94,W 
 20160224131457532,127.090135,37.351113,ewoo_t       ,64e599ae6d94,W 
 20160212025810723,127.090385,37.352013,ewoo_t       ,64e599ae6d94,W 
 20151202004002421,127.088770,37.350660,ewoo_t       ,64e599ae6d94,W 
 20151203235586109,127.090294,37.352383,ewoo_t       ,64e599ae6d94,W 
 20151118121143867,127.090385,37.352580,ewoo_t       ,64e599ae6d94,W 
 20151110203574124,127.090020,37.352394,ewoo_t       ,64e599ae6d94,W 
 20151107225882718,127.090155,37.352123,ewoo_t       ,64e599ae6d94,W 
 20160301130425583,127.092810,37.342983,ewoo_t       ,64e59919c6a6,W 
 20160219084200284,127.089867,37.343738,ewoo_t       ,64e59919c6a6,W 
 20150717055521327,127.109825,37.350050,ewoo_t       ,64e59919c6a6,W 
 20151202025310437,127.093929,37.341140,default      ,64e59919c6a6,W 
 20151103232284151,127.092218,37.343809,default      ,64e59919c6a6,W 
 20151113014106114,127.089570,37.352340,ewoo_t       ,64e59919c6a6,W 
 20151118140050431,127.091320,37.346770,ewoo_t       ,64e59919c6a6,W 
 20151122020407473,127.087070,37.349525,ewoo_t       ,64e59919c6a6,W 
 20151125023309201,127.092810,37.345290,ewoo_t       ,64e59919c6a6,W 
 20161017232619000,127.090413,37.352912,             ,64e59919c736,I 
 20160522020454564,127.090196,37.351306,default      ,64e59919c736,W 
 20160315085054396,127.089182,37.352909,Career_Office,64e59919c736,W 
 20160312040223938,127.090108,37.351527,ewoo_t       ,64e59919c736,W 
 20160226192016967,127.090105,37.350942,ewoo_t       ,64e59919c736,W 
 20140610144528700,127.090558,37.352663,ipTIME_jinro ,64e59919c736,N 
 20150723162258927,127.090200,37.352448,ewoo_t       ,64e59919c736,W 
 20150711105339205,127.090256,37.352562,ewoo_t       ,64e59919c736,W 
 20150716183767020,127.090288,37.352216,ewoo_t       ,64e59919c736,W 
 20151203113141495,127.090294,37.352383,ewoo_t       ,64e59919c736,W 
 20151117133849099,127.090385,37.352580,ewoo_t       ,64e59919c736,W 
 20160302232233981,127.091230,37.346135,ewoo_c       ,909f331232a6,W 
 20160301130000212,127.087795,37.352283,ewoo_c       ,909f331232a6,W 
 20160227081845319,127.091542,37.346922,ewoo_c       ,909f331232a6,W 
