,127.114244,37.378478,,,
 20160522050832604,127.113881,37.378166,U+Net1D43         ,00085b811d41,W 
 20160315120733975,127.113202,37.372992,U+Net1D43         ,00085b811d41,W 
 20160301010701449,127.089561,37.413954,U+Net1D43         ,00085b811d41,W 
 20160226210711686,127.112079,37.368798,U+Net1D43         ,00085b811d41,W 
 20160224035651384,127.113721,37.378018,U+Net1D43         ,00085b811d41,W 
 20160220071315875,127.114308,37.378564,U+Net1D43         ,00085b811d41,W 
 20160218204136800,127.114249,37.373982,U+Net1D43         ,00085b811d41,W 
 20160215103037823,127.114658,37.379942,default           ,00085b811d41,W 
 20160212124245721,127.114816,37.378470,U+Net1D43         ,00085b811d41,W 
 20160303043713620,127.113610,37.378079,T wifi zone       ,00161f034cd6,W 
 20160301194544501,127.115146,37.337823,T wifi zone       ,00161f034cd6,W 
 20160227142107492,127.114159,37.378303,default           ,00161f034cd6,W 
 20160224213728459,127.078345,37.241453,T wifi zone       ,00161f034cd6,W 
 20160220160155872,127.107393,37.314566,T wifi zone       ,00161f034cd6,W 
 20160219153034118,127.109250,37.352962,T wifi zone       ,00161f034cd6,W 
 20160216112341004,127.124176,37.376997,T wifi zone       ,00161f034cd6,W 
 20160212084731649,127.114133,37.377280,T wifi zone       ,00161f034cd6,W 
 20160206062122901,127.114656,37.378680,T wifi zone       ,00161f034cd6,W 
 20160521213450223,127.111255,37.383122,default           ,0206ac803c16,W 
 20160315043316615,127.116353,37.361982,U+zone            ,0206ac803c16,W 
 20160303105935075,127.111983,37.370633,default           ,0206ac803c16,W 
 20160229191823839,127.100650,37.397121,U+zone            ,0206ac803c16,W 
 20160226152934029,127.111140,37.368331,U+zone            ,0206ac803c16,W 
 20160223220911683,127.114180,37.378254,default           ,0206ac803c16,W 
 20160220042848878,127.114248,37.378675,U+zone            ,0206ac803c16,W 
 20160218142046401,127.114763,37.376748,U+zone            ,0206ac803c16,W 
 20160215025710661,127.115678,37.412900,default           ,0206ac803c16,W 
 20160303042709526,127.113653,37.378028,default           ,02161f034cd6,W 
 20160301193322649,127.114535,37.333513,T wifi zone_secure,02161f034cd6,W 
 20160227140859602,127.095955,37.403292,T wifi zone_secure,02161f034cd6,W 
 20160224212459787,127.077303,37.241198,T wifi zone_secure,02161f034cd6,W 
 20160220155609649,127.107368,37.314571,T wifi zone_secure,02161f034cd6,W 
 20160219151735457,127.109227,37.352668,T wifi zone_secure,02161f034cd6,W 
 20160216110640016,127.119353,37.374883,T wifi zone_secure,02161f034cd6,W 
 20160212083731045,127.114093,37.377025,T wifi zone_secure,02161f034cd6,W 
 20160206061222323,127.114656,37.378680,T wifi zone_secure,02161f034cd6,W 
 20160521211603960,127.111049,37.383555,FREE_U+zone       ,1206ac803c16,W 
 20160315042157393,127.116294,37.361583,FREE_U+zone       ,1206ac803c16,W 
 20160303105216752,127.115004,37.390190,FREE_U+zone       ,1206ac803c16,W 
 20160229190921392,127.110303,37.383054,default           ,1206ac803c16,W 
 20160226152040191,127.110561,37.363986,default           ,1206ac803c16,W 
 20160223220041301,127.114388,37.378322,FREE_U+zone       ,1206ac803c16,W 
