,127.115853,37.377322,,,
 20160315110520696,127.114396,37.378376,Love&Flower    ,0026661cf000,W 
 20160311210325588,127.116027,37.379164,Love&Flower    ,0026661cf000,W 
 20160303092348188,127.115423,37.378420,Love&Flower    ,0026661cf000,W 
 20160229173620530,127.110841,37.382059,Love&Flower    ,0026661cf000,W 
 20160226135652590,127.108439,37.378788,Love&Flower    ,0026661cf000,W 
 20160223204031850,127.111030,37.379671,Love&Flower    ,0026661cf000,W 
 20160220034105810,127.115339,37.378575,Love&Flower    ,0026661cf000,W 
 20160218131051270,127.115309,37.378532,Love&Flower    ,0026661cf000,W 
 20160211151955195,127.114605,37.379634,Love&Flower    ,0026661cf000,W 
 20161022081649000,127.115630,37.378319,               ,0025a6b56001,I 
 20160521192030579,127.118671,37.358861,ollehWiFi      ,0025a6b56001,W 
 20160315104019303,127.116200,37.379191,ollehWiFi      ,0025a6b56001,W 
 20160311202901013,127.115067,37.378344,ollehWiFi      ,0025a6b56001,W 
 20160303085830077,127.113736,37.384244,ollehWiFi      ,0025a6b56001,W 
 20160229171052131,127.115405,37.378289,ollehWiFi      ,0025a6b56001,W 
 20160226133235449,127.115288,37.378155,ollehWiFi      ,0025a6b56001,W 
 20160211145253545,127.116235,37.377804,ollehWiFi      ,0025a6b56001,W 
 20140715182734062,127.115640,37.378540,ollehWiFi      ,0025a6b56001,N 
 20151201042315780,127.114940,37.378418,ollehWiFi      ,0025a6b56001,W 
 20151127023743000,127.115478,37.378308,               ,0025a6b56001,F 
 20151110042015627,127.115206,37.378542,ollehWiFi      ,0025a6b56001,W 
 20161022081649000,127.115630,37.378319,               ,0025a6b56002,I 
 20160311202725143,127.115070,37.378346,ollehWiFi      ,0025a6b56002,W 
 20160303090033004,127.113736,37.384244,ollehWiFi      ,0025a6b56002,W 
 20160229171137202,127.115402,37.378269,ollehWiFi      ,0025a6b56002,W 
 20160226133205216,127.115288,37.378155,ollehWiFi      ,0025a6b56002,W 
 20160211144853331,127.116025,37.377919,default        ,0025a6b56002,W 
 20150711041715424,127.115486,37.378216,ollehWiFi      ,0025a6b56002,W 
 20150702091833507,127.115353,37.378360,ollehWiFi      ,0025a6b56002,W 
 20151110042015646,127.115210,37.378420,ollehWiFi      ,0025a6b56002,W 
 20151127023743000,127.115478,37.378308,               ,0025a6b56002,F 
 20161022081649000,127.115492,37.378345,               ,00078934abf3,I 
 20160303071136269,127.113736,37.384244,olleh_WiFi_ABF0,00078934abf3,W 
 20160301230930138,127.115412,37.378174,olleh_WiFi_ABF0,00078934abf3,W 
 20160227171620888,127.115288,37.378155,olleh_WiFi_ABF0,00078934abf3,W 
 20161022081649000,127.115630,37.378319,               ,0025a6b56003,I 
 20160315101815561,127.116200,37.379191,kt_eap_roaming ,0025a6b56003,W 
 20160311194619590,127.115157,37.378420,kt_eap_roaming ,0025a6b56003,W 
 20160303084009049,127.113736,37.384244,kt_eap_roaming ,0025a6b56003,W 
 20160229164117980,127.115409,37.378200,kt_eap_roaming ,0025a6b56003,W 
 20160226130503904,127.115288,37.378155,kt_eap_roaming ,0025a6b56003,W 
 20160214233885110,127.115370,37.377903,kt_eap_roaming ,0025a6b56003,W 
 20160211144252969,127.115953,37.377977,kt_eap_roaming ,0025a6b56003,W 
 20140715182734067,127.115640,37.378540,kt_eap_roaming ,0025a6b56003,N 
 20151201043816711,127.114940,37.378418,kt_eap_roaming ,0025a6b56003,W 
 20151110043316431,127.115403,37.379042,kt_eap_roaming ,0025a6b56003,W 
 20151127023743000,127.115478,37.378308,               ,0025a6b56003,F 
 20160521222839194,127.092160,37.422533,SVR-150N       ,081075b61e23,W 
 20160315054613396,127.116070,37.379099,SVR-150N       ,081075b61e23,W 
 20160312004541259,127.114707,37.378999,SVR-150N       ,081075b61e23,W 
 20160302092911639,127.114023,37.378282,SVR-150N       ,081075b61e23,W 
 20160229202536968,127.115358,37.378266,SVR-150N       ,081075b61e23,W 
 20160226164301133,127.115320,37.378654,SVR-150N       ,081075b61e23,W 
 20160223231629996,127.114695,37.378096,SVR-150N       ,081075b61e23,W 
 20160220050044652,127.115100,37.378120,SVR-150N       ,081075b61e23,W 
 20160218154129559,127.115344,37.378520,SVR-150N       ,081075b61e23,W 
 20140709191403852,127.115580,37.378560,SVR-150N       ,081075b61e23,N 
 20161022081649000,127.115404,37.378330,               ,0025a6b50566,I 
 20160302165655530,127.115340,37.378330,ollehWiFi      ,0025a6b50566,W 
 20160227011826904,127.115320,37.378654,ollehWiFi      ,0025a6b50566,W 
 20160219012658987,127.115350,37.378517,ollehWiFi      ,0025a6b50566,W 
 20150704144553126,127.115520,37.378900,ollehWiFi      ,0025a6b50566,W 
 20150711162959344,127.115340,37.378384,ollehWiFi      ,0025a6b50566,W 
 20150811192770046,127.115190,37.378536,ollehWiFi      ,0025a6b50566,W 
 20150801164260162,127.115430,37.378418,ollehWiFi      ,0025a6b50566,W 
 20151203180164900,127.115610,37.378624,ollehWiFi      ,0025a6b50566,W 
 20151111113841900,127.115328,37.378253,ollehWiFi      ,0025a6b50566,W 
 20151127023747000,127.115478,37.378308,               ,0025a6b50566,F 
